student_id,age,background,attendance,marks_avg,test_score,assignment_completion,login_frequency,study_hours_per_week,class_participation,doubt_sessions_attended,risk_score,risk_level,dropout
STU000001,24,Urban,83,52,44,77,3,15,Medium,8,0.3803,Medium,0
STU000002,21,Urban,39,26,24,29,6,0,Low,4,0.7864,High,1
STU000003,30,Rural,77,58,46,72,22,28,High,10,0.2863,Low,0
STU000004,28,Urban,44,25,50,29,6,7,Medium,1,0.7246,High,1
STU000005,25,Rural,58,59,44,30,8,19,Low,3,0.553,Medium,1
STU000006,30,Urban,82,98,66,100,15,19,Medium,12,0.219,Low,0
STU000007,22,Urban,58,64,38,67,10,13,Low,7,0.5284,Medium,0
STU000008,24,Rural,79,84,59,93,23,21,High,19,0.193,Low,0
STU000009,27,Rural,79,84,71,86,30,28,High,12,0.1582,Low,0
STU000010,20,Urban,75,87,61,78,24,21,Low,8,0.3405,Medium,0
STU000011,24,Rural,80,75,75,75,29,19,Low,14,0.3783,Medium,0
STU000012,28,Rural,74,45,55,87,18,4,High,6,0.3968,Medium,0
STU000013,28,Urban,37,25,39,40,4,5,Low,4,0.6955,Medium,1
STU000014,25,Rural,86,66,80,81,27,26,High,8,0.2383,Low,0
STU000015,22,Urban,91,64,66,77,16,26,High,4,0.2107,Low,0
STU000016,21,Urban,57,38,65,60,16,11,Medium,8,0.55,Medium,0
STU000017,25,Rural,60,42,38,58,15,9,Low,9,0.5318,Medium,0
STU000018,25,Urban,93,73,65,70,30,20,Low,10,0.338,Medium,0
STU000019,20,Urban,75,68,72,69,18,24,High,12,0.2623,Low,0
STU000020,23,Urban,97,75,54,68,30,12,High,12,0.1924,Low,0
STU000021,22,Rural,78,33,70,68,12,4,Low,11,0.5709,Medium,1
STU000022,19,Rural,37,46,37,18,14,11,Low,4,0.6693,Medium,1
STU000023,25,Urban,84,78,79,70,26,16,High,12,0.2005,Low,0
STU000024,29,Rural,80,39,45,82,12,9,Medium,3,0.4245,Medium,0
STU000025,23,Urban,90,87,77,84,21,24,High,5,0.1273,Low,0
STU000026,19,Rural,36,17,37,31,4,5,Low,1,0.7512,High,1
STU000027,29,Rural,81,52,72,56,19,14,Low,1,0.4472,Medium,1
STU000028,22,Rural,57,57,38,38,17,17,Low,0,0.5589,Medium,0
STU000029,18,Urban,56,56,67,35,13,1,High,1,0.519,Medium,1
STU000030,29,Rural,75,66,68,80,29,17,High,9,0.2401,Low,0
STU000031,27,Urban,54,82,68,62,26,23,Medium,17,0.2891,Low,1
STU000032,23,Rural,66,55,38,61,17,16,Medium,3,0.4556,Medium,1
STU000033,30,Urban,55,42,61,59,13,11,Low,4,0.5678,Medium,1
STU000034,29,Urban,93,79,62,57,22,20,High,8,0.2195,Low,0
STU000035,26,Urban,26,37,26,49,9,9,Medium,4,0.6563,Medium,1
STU000036,18,Urban,80,72,80,85,22,16,High,5,0.2432,Low,0
STU000037,28,Urban,83,73,72,65,23,27,High,16,0.2185,Low,0
STU000038,28,Rural,97,79,91,85,24,26,Medium,15,0.1984,Low,0
STU000039,27,Urban,40,22,33,30,5,0,Low,3,0.8123,High,1
STU000040,29,Urban,83,84,63,70,21,25,Medium,14,0.2399,Low,0
STU000041,29,Urban,25,39,26,15,12,10,Low,7,0.6868,Medium,1
STU000042,20,Rural,49,51,64,67,17,17,Medium,0,0.5412,Medium,0
STU000043,29,Urban,87,66,68,74,24,16,Low,9,0.3638,Medium,0
STU000044,24,Urban,61,61,53,53,20,12,Low,7,0.4906,Medium,0
STU000045,21,Urban,29,44,41,17,1,6,Medium,1,0.672,Medium,1
STU000046,26,Rural,73,37,52,59,7,8,Low,8,0.5781,Medium,0
STU000047,20,Urban,70,90,51,84,27,21,Medium,17,0.1884,Low,0
STU000048,22,Urban,82,59,56,100,23,22,High,14,0.1727,Low,0
STU000049,20,Rural,84,70,50,84,18,21,Medium,14,0.2591,Low,0
STU000050,24,Urban,89,73,72,69,20,20,High,6,0.2329,Low,0
STU000051,22,Urban,83,78,60,83,27,12,High,11,0.2117,Low,0
STU000052,26,Urban,69,75,70,72,14,11,Low,7,0.4426,Medium,1
STU000053,24,Rural,95,88,75,77,23,22,High,10,0.1655,Low,0
STU000054,19,Urban,89,72,69,83,22,32,Medium,11,0.2094,Low,0
STU000055,21,Urban,67,75,69,77,30,22,Medium,3,0.3188,Medium,0
STU000056,26,Urban,34,27,23,15,11,11,Medium,1,0.7641,High,1
STU000057,29,Rural,70,29,49,54,14,24,Low,7,0.5233,Medium,1
STU000058,19,Urban,46,67,20,7,5,4,Low,1,0.6814,Medium,1
STU000059,27,Urban,82,81,70,78,25,18,High,8,0.1753,Low,0
STU000060,26,Rural,77,72,85,79,15,22,High,13,0.234,Low,0
STU000061,27,Rural,30,12,14,28,11,5,Low,3,0.8354,High,1
STU000062,22,Rural,54,42,48,49,0,18,Low,9,0.6259,Medium,1
STU000063,19,Urban,91,66,76,88,18,18,High,10,0.224,Low,0
STU000064,21,Urban,45,48,40,38,14,12,Medium,9,0.5424,Medium,1
STU000065,29,Urban,86,69,61,71,20,23,Medium,9,0.2238,Low,0
STU000066,29,Rural,87,76,55,81,22,31,Medium,12,0.1888,Low,0
STU000067,24,Rural,7,33,53,25,12,11,Low,3,0.8613,High,1
STU000068,29,Rural,33,33,18,5,5,6,Low,3,0.7706,High,1
